review_id,label,sentiment,predicted_label,positive_probability,error_type,text_length,review_excerpt
test_0006,1,positive,0,0.3580791652202606,false_negative,132,i'm absolutely disgusted this movie isn't being sold all who love this movie should <unk> disney and <unk> the demand for it they'd eventually have to sell it then i'd buy copies for everybody i know everything and everybody in this movie d
test_0008,0,negative,1,0.576817641655604,false_positive,180,the <unk> richard <unk> dog is <unk> to <unk> joan fontaine dog however when <unk> <unk> crosby arrives in town to sell a record player to the emperor his dog is attacked by <unk> dog after a revenge attack where <unk> is <unk> from town a 
test_0009,0,negative,1,0.9072668850421906,false_positive,134,hollywood had a long love affair with bogus <unk> nights tales but few of these products have stood the test of time the most memorable were the jon hall maria <unk> films which have long since become camp this one is filled with dubbed son
test_0018,0,negative,1,0.625131276746591,false_positive,184,ed <unk> mitchell is a teenager who lives for his job at good <unk> a small but friendly neighborhood <unk> stand while his buddy <unk> thompson also works there but lack <unk> single minded devotion to his job he's there because he acciden
test_0031,1,positive,0,0.409456605091691,false_negative,99,tim robbins did a masterful job directing this film i say this because he avoided convention and clich he also <unk> superb performances from susan sarandon who won an oscar for her role and sean penn even more amazing robbins doesn't <unk>
test_0035,0,negative,1,0.4487887714058161,false_positive,133,fairly appalling enterprise suggests <unk> to be an <unk> artist <unk> drawn to the violent <unk> he knows best but unable to resist <unk> <unk> in banal fantasy the first story is a ham <unk> meaningless <unk> with a b movie sci fi premise
test_0039,0,negative,1,0.7712560296058655,false_positive,132,oh god it could be a very interesting film and in fact it is i would have like to give it a 5 but i give a 2 for my vote why i saw it in a theatre see this film on dvd or on tv the shooting is really really poor it keeps shaking all the tim
test_0049,0,negative,1,0.4819661043584347,false_positive,127,early <unk> feature based on a popular stage play a murder has been committed and a bunch of people hire a medium to <unk> a <unk> to see who the murderer is while the lights are out there's another murder so it's someone in that room what 
test_0050,1,positive,0,0.4138865191489458,false_negative,252,i can't understand why imdb users would rate this movie 5 2 10 it really is great very funny i would strongly recommend this movie for all of you adults teenagers and especially children the story is about a 14 year old kid who always tell 
test_0059,0,negative,1,0.6899785002072653,false_positive,203,in chicago four <unk> <unk> by dean richard <unk> come to an old building to <unk> power they accidentally <unk> a <unk> and arrive in another dimension where chicago was destroyed by a spider queen and <unk> by <unk> the group meets surviv
test_0060,0,negative,1,0.9395887553691864,false_positive,124,oh how awfully this movie is i don't know if it is a horror film or a drama cause the story and the both genres are not established very well the story is not moving it is slow boring and <unk> from the beginning to end this movie really <u
test_0064,0,negative,1,0.5776265459135175,false_positive,234,really here the french cinema hits rock bottom and compared to it the least appealing of the american adolescent horror movies the likes of friday the <unk> freddy and co are masterpieces of the <unk> art it's all the more <unk> as there we
test_0067,0,negative,1,0.48658137302845716,false_positive,734,this movie made me think of how i could write something about it without personally <unk> the director and all the actors who as an australian i am proud of for actually getting out there and making a film but the movie itself let me tell y
test_0075,0,negative,1,0.4943583905696869,false_positive,122,this movie was ok as far as movies go it could have been made as a <unk> into <unk> movies however it had little to do with the left behind books that it was supposedly based on major story <unk> were removed and new major story <unk> were 
test_0079,0,negative,1,0.6893330122344196,false_positive,307,there seems to be a <unk> of cinema on the left there are movies made mostly for entertainment and or commercial purposes in the middle there are movies that are both entertaining and artistic on the right are movies that are not as commerc
test_0081,1,positive,0,0.3905822771290938,false_negative,157,with the obvious exception of fools horses this was in my opinion david <unk> finest series coming straight after his tv debut on <unk> not <unk> your set ' these 13 episodes revealed a <unk> of comic timing not seen since the old silent mo
test_0087,0,negative,1,0.8463528752326965,false_positive,81,well i'd have to say that i do own this film and i only like the ending the movie is boring and slow but the final fight is so funny lets just say that if the fake bird didn't attack the main evil guy this movie would be a 0 out of 10 the b
test_0092,1,positive,0,0.0482746921479702,false_negative,74,i think this is a great classic monster film for the family the mole what a machine the tall creature with the <unk> the flying green <unk> or whatever they are and the ape men things the speak <unk> with them the battle of the men in rubbe
test_0096,0,negative,1,0.4471228172381719,false_positive,200,this is a disappointing adaptation of the james lee burke novel in the electric <unk> of the <unk> dead it is rather poorly acted mainly due to the <unk> of the principal players tommy lee jones a normally fine actor just doesn't capture <u
test_0102,1,positive,0,0.06574896288414796,false_negative,173,<unk> is the first of its kind in turkish cinema and it's way better than i expected those people who say it's neither scary nor funny have a point it's not all that great indeed but it must be kept in mind that everyone involved with the m
test_0105,0,negative,1,0.5924437865614891,false_positive,88,this is one of the worst movies i have ever seen i could hardly stay awake the acting and the plot were horrible i like b movies but this movie has nothing that could make me laugh or think about ok there were two or three funny moments at 
test_0106,0,negative,1,0.5104650103797516,false_positive,521,as a i got the <unk> jokes very funny make fun of <unk> ann <unk> all those lame <unk> of detroit yes yes i've heard these jokes a million times i'll give them credit for accurately depicting the <unk> of <unk> <unk> it couldn't get more wh
test_0108,0,negative,1,0.4518133192323148,false_positive,111,i think it's two years ago since i have seen the movie and till this day it's the worst film i have ever seen the only thing i thought after seeing this movie was that it was made for some tax reason so after all this time i finally <unk> m
test_0116,0,negative,1,0.9509085416793823,false_positive,138,while the design and locations and photography are strong <unk> in this film it is a <unk> and melodramatic affair which demonstrates the limits of cinema to convey truth the case is the use of the soundtrack music a mix of <unk> and andrew
test_0121,0,negative,1,0.46657875180244446,false_positive,205,i'm not surprised that so many people fell for this one when i was watching this movie a couple viewers next to me <unk> whenever you're supposed to <unk> or at least feel touched like when hunting said he didn't love the girl like when rob
test_0126,1,positive,0,0.35425399119655293,false_negative,146,ok so in any <unk> e <unk> road runner cartoons we know that is going to set up all sorts of traps for <unk> but always himself in various ways that certainly happens in <unk> <unk> predictable i guess that it is but when you think about it
test_0129,0,negative,1,0.7981448583304882,false_positive,787,the film's <unk> is you think you know who you are you have no idea i reject both the suggested idea that i have no idea who i am and the <unk> suggestion that this film tells me who people truly are if people in real life are really like t
test_0130,0,negative,1,0.5834289416670799,false_positive,115,this film has absolutely no redeeming features it's not even worthy of being in the <unk> bad it's <unk> category it's simply bad badly acted badly shot badly written badly directed terrible sound recording and the whole thing is just incre
test_0131,1,positive,0,0.14679514003607133,false_negative,379,i just saw this movie at the berlin film <unk> children's program and it just killed me and pretty much everyone else in the audience and make no mistake about it this film belongs into the all time <unk> let me tell you that i'm in no way 
test_0136,0,negative,1,0.5279327630996704,false_positive,88,this movie is recommended only for <unk> it will <unk> them by putting them to sleep five year olds might also enjoy it but for anyone else including fans of the genre what a bore the ancient plot is reminiscent of return of the dragon and 
