threshold,accuracy,balanced_accuracy,precision,recall,f1
0.2,0.635,0.6280175109443402,0.5942492012779552,0.9073170731707317,0.7181467181467182
0.20500000000000002,0.6325,0.6255784865540963,0.592948717948718,0.9024390243902439,0.7156673114119922
0.21000000000000002,0.6375,0.6307066916823014,0.5967741935483871,0.9024390243902439,0.7184466019417476
0.21500000000000002,0.6425,0.6358348968105065,0.6006493506493507,0.9024390243902439,0.7212475633528265
0.22000000000000003,0.6425,0.6359599749843652,0.6013071895424836,0.8975609756097561,0.7201565557729941
0.225,0.645,0.6385240775484677,0.6032786885245902,0.8975609756097561,0.7215686274509804
0.23,0.6525,0.6462163852407755,0.609271523178808,0.8975609756097561,0.7258382642998028
0.23500000000000001,0.65,0.6437773608505316,0.6079734219269103,0.8926829268292683,0.7233201581027668
0.24000000000000002,0.6525,0.6463414634146342,0.61,0.8926829268292683,0.7247524752475247
0.24500000000000002,0.6525,0.6463414634146342,0.61,0.8926829268292683,0.7247524752475247
0.25,0.6525,0.6464665415884928,0.610738255033557,0.8878048780487805,0.7236580516898609
0.255,0.6525,0.6465916197623515,0.6114864864864865,0.8829268292682927,0.7225548902195609
0.26,0.6525,0.6465916197623515,0.6114864864864865,0.8829268292682927,0.7225548902195609
0.265,0.6525,0.6467166979362101,0.6122448979591837,0.8780487804878049,0.7214428857715431
0.27,0.6525,0.6468417761100688,0.613013698630137,0.8731707317073171,0.7203219315895373
0.275,0.6575,0.651969981238274,0.6172413793103448,0.8731707317073171,0.7232323232323232
0.28,0.66,0.6546591619762352,0.6202090592334495,0.8682926829268293,0.7235772357723578
0.28500000000000003,0.6625,0.6573483427141964,0.6232394366197183,0.8634146341463415,0.7239263803680982
0.29000000000000004,0.6675,0.6624765478424015,0.6276595744680851,0.8634146341463415,0.7268993839835729
0.29500000000000004,0.6675,0.6624765478424015,0.6276595744680851,0.8634146341463415,0.7268993839835729
0.30000000000000004,0.6675,0.6624765478424015,0.6276595744680851,0.8634146341463415,0.7268993839835729
0.30500000000000005,0.6675,0.6626016260162602,0.6285714285714286,0.8585365853658536,0.7257731958762886
0.31000000000000005,0.6725,0.6677298311444653,0.6330935251798561,0.8585365853658536,0.7287784679089027
0.31500000000000006,0.675,0.6704190118824265,0.6363636363636364,0.8536585365853658,0.7291666666666666
0.32000000000000006,0.68,0.6756722951844902,0.6420664206642066,0.848780487804878,0.7310924369747899
0.32500000000000007,0.685,0.6808005003126953,0.6468401486988847,0.848780487804878,0.7341772151898734
0.33000000000000007,0.6825,0.6783614759224514,0.6455223880597015,0.8439024390243902,0.7315010570824524
0.3350000000000001,0.685,0.6810506566604128,0.6490566037735849,0.8390243902439024,0.7319148936170212
0.34,0.68,0.676172607879925,0.6463878326996197,0.8292682926829268,0.7264957264957265
0.34500000000000003,0.6825,0.6787367104440275,0.648854961832061,0.8292682926829268,0.728051391862955
0.35000000000000003,0.6825,0.6789868667917448,0.6511627906976745,0.8195121951219512,0.7257019438444925
0.35500000000000004,0.6825,0.6789868667917448,0.6511627906976745,0.8195121951219512,0.7257019438444925
0.36000000000000004,0.6775,0.6742338961851158,0.6496062992125984,0.8048780487804879,0.7189542483660131
0.36500000000000005,0.68,0.6767979987492183,0.6521739130434783,0.8048780487804879,0.7205240174672489
0.37000000000000005,0.6825,0.6796122576610382,0.657258064516129,0.7951219512195122,0.7196467991169978
0.37500000000000006,0.6875,0.6848655409631019,0.6639344262295082,0.7902439024390244,0.7216035634743875
0.38000000000000006,0.6975,0.6951219512195121,0.675,0.7902439024390244,0.7280898876404495
0.385,0.7,0.6978111319574735,0.679324894514768,0.7853658536585366,0.7285067873303167
0.39,0.7,0.6978111319574735,0.679324894514768,0.7853658536585366,0.7285067873303167
0.395,0.7,0.6980612883051908,0.6824034334763949,0.775609756097561,0.726027397260274
0.4,0.7025,0.7008755472170106,0.6885964912280702,0.7658536585365854,0.7251732101616628
0.405,0.7,0.6984365228267667,0.6872246696035242,0.7609756097560976,0.7222222222222222
0.41000000000000003,0.7025,0.7010006253908694,0.6902654867256637,0.7609756097560976,0.7238979118329466
0.41500000000000004,0.7075,0.7061288305190745,0.6964285714285714,0.7609756097560976,0.7272727272727273
0.42000000000000004,0.71,0.708692933083177,0.6995515695067265,0.7609756097560976,0.7289719626168224
0.42500000000000004,0.715,0.7140712945590995,0.7096774193548387,0.751219512195122,0.7298578199052133
0.43000000000000005,0.725,0.7243277048155097,0.7230046948356808,0.751219512195122,0.7368421052631579
0.43500000000000005,0.725,0.7243277048155097,0.7230046948356808,0.751219512195122,0.7368421052631579
0.44000000000000006,0.7225,0.7218886804252658,0.7216981132075472,0.7463414634146341,0.7338129496402878
0.44500000000000006,0.7125,0.7122576610381488,0.7184466019417476,0.7219512195121951,0.7201946472019465
0.45000000000000007,0.71,0.7098186366479049,0.7170731707317073,0.7170731707317073,0.7170731707317073
0.45500000000000007,0.7025,0.7026266416510318,0.715,0.697560975609756,0.7061728395061728
0.4600000000000001,0.6925,0.6928705440900563,0.7091836734693877,0.6780487804878049,0.6932668329177057
0.4650000000000001,0.69,0.6906816760475297,0.7120418848167539,0.6634146341463415,0.6868686868686869
0.4700000000000001,0.6925,0.6932457786116323,0.7157894736842105,0.6634146341463415,0.6886075949367089
0.4750000000000001,0.69,0.690931832395247,0.7165775401069518,0.6536585365853659,0.6836734693877551
0.48000000000000004,0.69,0.6911819887429644,0.7213114754098361,0.6439024390243903,0.6804123711340206
0.48500000000000004,0.6925,0.6939962476547843,0.7303370786516854,0.6341463414634146,0.6788511749347258
0.49000000000000005,0.695,0.6966854283927455,0.7371428571428571,0.6292682926829268,0.6789473684210526
0.49500000000000005,0.6975,0.699249530956848,0.7413793103448276,0.6292682926829268,0.6807387862796834
0.5,0.6975,0.699249530956848,0.7413793103448276,0.6292682926829268,0.6807387862796834
0.5050000000000001,0.69,0.6919324577861163,0.7368421052631579,0.6146341463414634,0.6702127659574468
0.51,0.695,0.6971857410881801,0.7485029940119761,0.6097560975609756,0.6720430107526881
0.5150000000000001,0.6925,0.6947467166979362,0.7469879518072289,0.6048780487804878,0.6684636118598383
0.52,0.6825,0.6849906191369606,0.7407407407407407,0.5853658536585366,0.6539509536784741
0.5250000000000001,0.675,0.6777986241400875,0.7388535031847133,0.5658536585365853,0.6408839779005525
0.53,0.6725,0.6754846779237023,0.7402597402597403,0.5560975609756098,0.6350974930362117
0.5350000000000001,0.6725,0.675609756097561,0.743421052631579,0.551219512195122,0.6330532212885154
0.54,0.675,0.6782989368355222,0.7516778523489933,0.5463414634146342,0.632768361581921
0.5450000000000002,0.6675,0.6709818636647905,0.7465753424657534,0.5317073170731708,0.6210826210826211
0.55,0.665,0.6685428392745466,0.7448275862068966,0.526829268292683,0.6171428571428571
0.5550000000000002,0.67,0.6736710444027517,0.7552447552447552,0.526829268292683,0.6206896551724138
0.56,0.67,0.6737961225766104,0.7588652482269503,0.5219512195121951,0.6184971098265896
0.5650000000000001,0.675,0.6789243277048156,0.7697841726618705,0.5219512195121951,0.622093023255814
0.5700000000000001,0.675,0.6790494058786742,0.7737226277372263,0.5170731707317073,0.6198830409356725
0.5750000000000001,0.6725,0.6766103814884303,0.7720588235294118,0.5121951219512195,0.6158357771260997
0.5800000000000001,0.67,0.6741713570981864,0.7703703703703704,0.5073170731707317,0.611764705882353
0.5850000000000001,0.675,0.6792995622263915,0.7819548872180451,0.5073170731707317,0.6153846153846154
0.5900000000000001,0.675,0.6794246404002502,0.7862595419847328,0.5024390243902439,0.6130952380952381
0.5950000000000001,0.67,0.6745465916197624,0.7829457364341085,0.4926829268292683,0.6047904191616766
0.6000000000000001,0.675,0.6796747967479675,0.7952755905511811,0.4926829268292683,0.608433734939759
0.6050000000000001,0.6725,0.6773608505315822,0.7983870967741935,0.48292682926829267,0.601823708206687
0.6100000000000001,0.665,0.6701688555347092,0.7983193277310925,0.4634146341463415,0.5864197530864198
0.6150000000000001,0.6675,0.6727329580988117,0.8050847457627118,0.4634146341463415,0.5882352941176471
0.6200000000000001,0.67,0.6752970606629143,0.811965811965812,0.4634146341463415,0.5900621118012422
0.6250000000000001,0.67,0.675422138836773,0.8173913043478261,0.4585365853658537,0.5875
0.6300000000000001,0.6675,0.6729831144465291,0.8157894736842105,0.45365853658536587,0.5830721003134797
0.6350000000000001,0.66,0.6656660412757974,0.8108108108108109,0.43902439024390244,0.569620253164557
0.6400000000000001,0.6575,0.6632270168855535,0.8090909090909091,0.43414634146341463,0.5650793650793651
0.645,0.6575,0.6632270168855535,0.8090909090909091,0.43414634146341463,0.5650793650793651
0.6500000000000001,0.6525,0.6583489681050657,0.8055555555555556,0.424390243902439,0.5559105431309904
0.655,0.6525,0.6584740462789244,0.8113207547169812,0.4195121951219512,0.5530546623794212
0.6600000000000001,0.65,0.6560350218886805,0.8095238095238095,0.4146341463414634,0.5483870967741935
0.665,0.6475,0.6537210756722952,0.8137254901960784,0.40487804878048783,0.5407166123778502
0.6700000000000002,0.6475,0.6538461538461539,0.82,0.4,0.5377049180327869
0.675,0.6425,0.648968105065666,0.8163265306122449,0.3902439024390244,0.528052805280528
0.6800000000000002,0.6425,0.648968105065666,0.8163265306122449,0.3902439024390244,0.528052805280528
0.685,0.64,0.6466541588492808,0.8210526315789474,0.3804878048780488,0.52
0.6900000000000002,0.64,0.6466541588492808,0.8210526315789474,0.3804878048780488,0.52
0.6950000000000001,0.64,0.6466541588492808,0.8210526315789474,0.3804878048780488,0.52
0.7000000000000002,0.6375,0.6443402126328955,0.8260869565217391,0.37073170731707317,0.5117845117845118
0.7050000000000001,0.6375,0.644590368980613,0.8409090909090909,0.36097560975609755,0.5051194539249146
0.7100000000000002,0.6325,0.6397123202001251,0.8372093023255814,0.35121951219512193,0.4948453608247423
0.7150000000000001,0.6325,0.6397123202001251,0.8372093023255814,0.35121951219512193,0.4948453608247423
0.7200000000000002,0.63,0.6372732958098812,0.8352941176470589,0.3463414634146341,0.4896551724137931
0.7250000000000001,0.625,0.6323952470293934,0.8313253012048193,0.33658536585365856,0.4791666666666667
0.7300000000000002,0.62,0.6277673545966229,0.8441558441558441,0.3170731707317073,0.46099290780141844
0.7350000000000001,0.62,0.6277673545966229,0.8441558441558441,0.3170731707317073,0.46099290780141844
0.7400000000000002,0.62,0.6277673545966229,0.8441558441558441,0.3170731707317073,0.46099290780141844
0.7450000000000001,0.625,0.6330206378986867,0.8767123287671232,0.3121951219512195,0.460431654676259
0.7500000000000002,0.6225,0.6305816135084428,0.875,0.3073170731707317,0.4548736462093863
0.7550000000000001,0.6225,0.6305816135084428,0.875,0.3073170731707317,0.4548736462093863
0.76,0.6225,0.6308317698561601,0.8970588235294118,0.2975609756097561,0.4468864468864469
0.7650000000000001,0.62,0.6283927454659162,0.8955223880597015,0.2926829268292683,0.4411764705882353
0.77,0.62,0.6283927454659162,0.8955223880597015,0.2926829268292683,0.4411764705882353
0.7750000000000001,0.6175,0.6259537210756723,0.8939393939393939,0.28780487804878047,0.4354243542435424
0.78,0.6175,0.6259537210756723,0.8939393939393939,0.28780487804878047,0.4354243542435424
0.7850000000000001,0.605,0.6137585991244527,0.8852459016393442,0.2634146341463415,0.40601503759398494
0.79,0.6025,0.6113195747342088,0.8833333333333333,0.25853658536585367,0.4
0.7950000000000002,0.6025,0.6113195747342088,0.8833333333333333,0.25853658536585367,0.4
0.8,0.6025,0.6113195747342088,0.8833333333333333,0.25853658536585367,0.4
